Total cases,Johor,Kedah,Kelantan,Malacca,Negeri Sembilan,Pahang,Penang,Perak,Perlis,Sabah,Sarawak,Selangor,Terengganu,Kuala Lumpur,Putrajaya,Labuan,Date
4,0.0,,,,,,,,,,,,,,,,2020-03-03
4,0.0,,,,,,,,,,,,,,,,2020-02-28
4,0.0,,,,,,,,,,,,,,,,2020-02-27
4,0.0,,,,,,,,,,,,,,,,2020-02-09
4,0.0,,,,,,,,,,,,,,,,2020-02-14
4,1.0,,,,,,,,,,,,,,,,2020-02-06
4,,2.0,,,,,,,,,,,,,,,2020-02-14
4,,,,,,,,,,,,,,0.0,,,2020-02-14
4,0.0,,,,,,,,,,,,,,,,2020-02-15
4,,,,,,,,,,,,,,0.25,,,2020-02-13
4,0.0,,,,,,,,,,,,,,,,2020-02-13
4,,0.0,,,,,,,,,,,,,,,2020-02-15
4,,,,,,,,,,,,,,,0.0,,2020-03-18
4,,,,,,,,,,,,,,0.0,,,2020-02-15
4,,,,,,,,,,,,0.0,,,,,2020-01-30
4,,,,,,,,,,,,0.3333333333333333,,,,,2020-01-28
4,,0.0,,,,,,,,,,,,,,,2020-02-27
4,0.0,,,,,,,,,,,,,,,,2020-02-08
4,0.0,,,,,,,,,,,,,,,,2020-02-07
5,,,,,,,,,,,,,,,,0.0,2020-03-23
5,,0.0,,,,,,,,,,,,,,,2020-03-14
5,,,,,,,,,,,,0.0,,,,,2020-02-07
5,,,,,,,,,,,,,,,,1.0,2020-03-18
5,,,,,,,,,,,,,,,,0.0,2020-03-22
5,,,,,,,,,,,,,,,,0.0,2020-03-24
5,,,,,,,,,,,,0.25,,,,,2020-02-03
5,,,,,,,,,,,,,,,,0.0,2020-03-25
5,,,,,,,,,,,,0.0,,,,,2020-02-06
5,,,,,,,,,,,,0.0,,,,,2020-02-05
5,,,,,,,,,,,,,,,,0.0,2020-03-20
5,,,,,,,,,,,,,,,,0.0,2020-03-27
5,,,,,,,,,,,,,,0.08333333333333333,,,2020-02-27
5,,,,,,,,,,,,,,,,0.0,2020-03-26
5,,,,,,,,,,,,,,,,0.0,2020-03-19
5,,,,,,,,,,,,,,,,0.0,2020-03-21
5,,0.1,,,,,,,,,,,,,,,2020-03-13
6,,,,,,,,,,,,,,,2.0,,2020-03-19
6,,,,,,,,,,,,,,1.0,,,2020-02-28
6,,,,,,,,,,,6.0,,,,,,2020-03-14
6,,,,,,,,,,,,1.0,,,,,2020-02-08
6,,,,5.0,,,,,,,,,,,,,2020-03-14
6,,,,,,,,,,,,,,,0.0,,2020-03-20
7,,,,,,,0.0,,,,,,,,,,2020-03-14
7,,,,,,,,,,,,0.0,,,,,2020-02-13
7,,,,,,,,,,,,0.0,,,,,2020-02-14
7,,,,,,,,,,,,,,0.5,,,2020-03-01
7,,,,,,,0.7,,,,,,,,,,2020-03-13
7,,,,,,,,,,,,1.0,,,,,2020-02-09
7,,,,,,,,,,,,,3.0,,,,2020-03-17
8,,,,,,,,,0.0,,,,,,,,2020-03-17
8,,,,,,,,,3.0,,,,,,,,2020-03-16
8,,,,,,,,,0.0,,,,,,,,2020-03-18
8,,,,,,,,,,,,1.0,,,,,2020-02-15
8,,,,,,,,,,,,0.0,,,,,2020-02-27
9,,,,,,,,,,,,,,,3.0,,2020-03-21
9,,,,,,,,,1.0,,,,,,,,2020-03-19
9,,,,,,,,,,,,1.0,,,,,2020-02-28
9,,,,,,,,,0.0,,,,,,,,2020-03-20
9,,,,,,,,,,,,,,1.0,,,2020-03-03
9,,,,,,,,,0.0,,,,,,,,2020-03-24
9,,,,,,,,,0.0,,,,,,,,2020-03-21
9,,,,,,,,,0.0,,,,,,,,2020-03-23
9,,,,,,,,,,,,,,,0.0,,2020-03-22
9,,,,,,,,,0.0,,,,,,,,2020-03-22
10,,,,,,,,,,,,,3.0,,,,2020-03-18
10,,,,,,,,,,,,,,,,0.0,2020-04-01
10,,,,,,,,,,,,,,,,0.0,2020-04-02
10,,,,,,,,,0.0,,,,,,,,2020-03-28
10,,,,,,,,,0.0,,,,,,,,2020-03-27
10,,,,,,,,,,,,,,,,0.0,2020-04-03
10,,,,,,,,,,,,,,,,5.0,2020-03-28
10,,,,,,,,,0.0,,,,,,,,2020-03-29
10,,,,,,,,,,,,,,,,0.0,2020-03-31
10,,,,,,,,,0.0,,,,,,,,2020-03-26
10,,,,,,,,,,,,,,,,0.0,2020-03-29
10,,,,,,,,,,,,,,,,0.0,2020-03-30
10,,,,,,,,,1.0,,,,,,,,2020-03-25
11,,,,,,,,,,,,,1.0,,,,2020-03-19
11,,,,,,,,,1.0,,,,,,,,2020-03-30
11,,,,,0.9,,,,,,,,,,,,2020-03-13
11,,,,,,,,,,,,,,,,1.0,2020-04-04
11,,,,,,,,,,,,,,,,0.0,2020-04-05
12,,,,,,,,,0.0,,,,,,,,2020-04-03
12,,,,,,,,,0.0,,,,,,,,2020-04-04
12,,,,,,,,,1.0,,,,,,,,2020-03-31
12,,,,,,,,,0.0,,,,,,,,2020-04-01
12,,,,,,,,,,,,,,,,1.0,2020-04-06
12,,,,,,,,,0.0,,,,,,,,2020-04-02
12,,,,,,,,,,,,1.5,,,,,2020-03-01
13,,,,,,,,,,,,,,,,0.0,2020-04-09
13,,,,,,,,,,,,,,,,0.0,2020-04-08
13,,,,,,,,,,,,,,,,1.0,2020-04-07
13,,,,,,,,,,,,,,,4.0,,2020-03-23
13,,,,,,,,,,,,,,,,0.0,2020-04-10
13,,,,,,,,,1.0,,,,,,,,2020-04-05
13,,,,,,,,,0.0,,,,,,,,2020-04-06
14,,,,4.0,,,,,,,,,,,,,2020-03-16
15,,,,,,,,,,,,,,,,0.0,2020-04-15
15,,,,,,,,,,,,,,,2.0,,2020-03-24
15,,,,,,,,,,,,,,,,2.0,2020-04-11
15,,,,,,,,,,,,,,,,0.0,2020-04-12
15,,,,,,,4.0,,,,,,,,,,2020-03-16
15,,,,,,,,,,,,,,,,0.0,2020-04-14
15,,,,,,,,,,,,,,,,0.0,2020-04-13
15,,,,,,,,,,,,,,,,0.0,2020-04-16
15,,,,,,,,,,1.5,,,,,,,2020-03-13
16,,,,,,,,,,,,,,,,0.0,2020-04-18
16,,,,,,,,,,,,,,,,0.0,2020-05-26
16,,,,,,,,,,,,,,,,0.0,2020-04-21
16,,,,,,,,,,,,,,,,0.0,2020-05-27
16,,,,,,,,,,,,,,,,0.0,2020-05-17
16,,,,,,,,,,,,,,,,0.0,2020-05-03
16,,,,,,,,,,,,,,,,0.0,2020-05-04
16,,,,,,,,,,,,,,,,0.0,2020-05-29
16,,,,,,,,,,,,,,,,1.0,2020-04-17
16,,,,,,,,,,,,,,,,0.0,2020-05-11
16,,,,,,,,,,,,,,,,0.0,2020-05-28
16,,,,,,,,,,,,,,,,0.0,2020-05-30
16,,,,,,,,,,,,,,,,0.0,2020-04-19
16,,,,,,,,,,,,,,,,0.0,2020-05-10
16,,,,,,,,,,,,,,,,0.0,2020-04-20
16,,,,,,,,,,,,,,,,0.0,2020-05-05
16,,,,,,,,,,,,,,,,0.0,2020-05-06
16,,,,,,,,,,,,,,,,0.0,2020-05-12
16,,,,,,,,,,,,,,,,0.0,2020-05-16
16,,,,,,,,,,,,,,,,0.0,2020-05-18
16,,,,,,,,,,,,,,,,0.0,2020-04-30
16,,,,,,,,,,,,,,,,0.0,2020-05-19
16,,,,,,,,,,,,,,,,0.0,2020-04-29
16,,,,,,,,,,,,,,,,0.0,2020-05-20
16,,,,,,,,,,,,,,,,0.0,2020-05-21
16,,,,,,,,,,,,,,,,0.0,2020-04-28
16,,,,,,,,,,,,,,,,0.0,2020-05-15
16,,,,,,,,,,,,,,,1.0,,2020-03-25
16,,,,,,,,,,,,,,,,0.0,2020-04-22
16,,,,,,,,,,,,,,,,0.0,2020-05-22
16,,,,,,,,,,,,,,,,0.0,2020-05-14
16,,,,,,,,,,,,,,,,0.0,2020-04-26
16,,,,,,,,,,,,,,,,0.0,2020-05-02
16,,,,,,,,,,,,,,,,0.0,2020-05-23
16,,,,,,,,,,,,,,,,0.0,2020-04-25
16,,,,,,,,,,,,,,,,0.0,2020-05-13
16,,,,,,,,,,,,,,,,0.0,2020-05-24
16,,,,,,,,,,,,,,,,0.0,2020-04-24
16,,,,,,,,,,,,,,,,0.0,2020-05-09
16,,,,,,,,,,,,,,,,0.0,2020-04-23
16,,,,,,,,,,,,,,,,0.0,2020-04-27
16,,,,,,,,,,,,,,,,0.0,2020-05-25
16,,,,,,,,,,,,,,,,0.0,2020-05-31
16,,,,,,,,,,,,,,,,0.0,2020-06-01
16,,,,,,,,,,,,,,,,0.0,2020-05-07
16,,,,,,,,,,,,,,,,0.0,2020-06-05
16,,,,,,,,,,,,,,,,0.0,2020-06-04
16,,,,,,,,,,,,,,,,0.0,2020-06-03
16,,,,,,,,,,,,,,,,0.0,2020-05-08
16,,,,,,,,,,,,,,,,0.0,2020-05-01
16,,,,,,,,,,,,,,,,0.0,2020-06-02
17,,,,,,,,,,,,,,,,0.0,2020-06-27
17,,,,,,,,,,,,,,,,0.0,2020-06-26
17,,,,,,,,,,,,,,,,0.0,2020-07-07
17,,,,,,,,,,,,,,,,0.0,2020-07-24
17,,,,,,,,,0.0,,,,,,,,2020-04-08
17,,,,,,,,,,,,,,,,0.0,2020-07-06
17,,,,,,,,,,,,,,,,0.0,2020-06-24
17,,,,,,,,,,,,,,,,0.0,2020-06-08
17,,,,,,,,,,,,,,,,0.0,2020-06-20
17,,,,,,,,,,,,,,,,0.0,2020-06-17
17,,,,,,,,,4.0,,,,,,,,2020-04-07
17,,,,,,,,,,,,,,,,0.0,2020-06-30
17,,,,,,,,,,,,,,,,0.0,2020-07-05
17,,,,,,,,,,,,,,,,0.0,2020-06-09
17,,,,,,,,,,,,,,,,0.0,2020-06-13
17,,,,,,,,,,,,,,,,0.0,2020-06-12
17,,,,,,,,,,,,,,,,0.0,2020-06-18
17,,,,,,,,,,,,,,,,0.0,2020-07-04
17,,,,,,,,,,,,,,,,0.0,2020-06-10
17,,,,,,,,,,,,,,,,0.0,2020-06-22
17,,,,,,,,,,,,,,,,0.0,2020-07-03
17,,,,,,,,,,,,,,,,0.0,2020-06-11
17,,,,,,,,,,,,,,,,0.0,2020-06-21
17,,,,,,,,,,,,,,,,0.0,2020-06-25
17,,,,,,,,,,,,2.5,,,,,2020-03-03
17,,,,,,,,,,,,,,,,0.0,2020-07-02
17,,,,,,,,,,,,,,,,0.0,2020-07-01
17,,,,,,,,,,,,,,,,0.0,2020-06-07
17,,,,,,,,,0.0,,,,,,,,2020-04-09
17,,,,,,,,,,,,,,,,0.0,2020-07-23
17,,,,,,,,,,,,,,,,0.0,2020-07-15
17,,,,3.0,,,,,,,,,,,,,2020-03-17
17,,,,,,,,,,,,,,,,0.0,2020-07-16
17,,,,,,,,,,,,,,,,0.0,2020-06-28
17,,,,,,,,,,,,,,,,0.0,2020-07-12
17,,,,,,,,,,,,,,,,0.0,2020-07-17
17,,,,,,,,,0.0,,,,,,,,2020-04-13
17,,,,,,,,,,,,,,,,0.0,2020-07-11
17,,,,,,,,,,,,,,,,0.0,2020-06-16
17,,,,,,,,,,,,,,,,0.0,2020-07-18
17,,,,,,,,,,,,,,,,0.0,2020-06-15
17,,,,,,,,,0.0,,,,,,,,2020-04-12
17,,,,,,,,,,,,,,,,0.0,2020-07-19
17,,,,,,,,,,,,,,,,0.0,2020-06-14
17,,,,,,,,,,,,,,,,0.0,2020-07-10
17,,,,,,,,,,,,,,,,0.0,2020-07-22
17,,,,,,,,,,,,,,,,0.0,2020-06-29
17,,,,,,,,,,,,,,,,0.0,2020-07-13
17,,,,,,,,,,,,,,,,0.0,2020-07-20
17,,,,,,,,,,,,,,,,0.0,2020-07-09
17,,,,,,,,,,,,,,,,0.0,2020-06-19
17,,,,,,,,,0.0,,,,,,,,2020-04-11
17,,,,,,,,,,,,,,,,0.0,2020-07-21
17,,,,,,,,,,,,,,,,0.0,2020-07-14
17,,,,,,,,,,,,,,,,0.0,2020-06-23
17,,,,,,,,,0.0,,,,,,,,2020-04-10
17,,,,,,,,,,,,,,,,0.0,2020-07-08
17,,,,,,,,,,,,,,,,1.0,2020-06-06
18,,,,,,,,,0.0,,,,,,,,2020-06-25
18,,,,,,,,,0.0,,,,,,,,2020-05-04
18,,,,,,,,,0.0,,,,,,,,2020-05-02
18,,,,,,,,,0.0,,,,,,,,2020-05-03
18,,,,,,,,,0.0,,,,,,,,2020-05-05
18,,,,,,,,,0.0,,,,,,,,2020-07-02
18,,,,,,,,,0.0,,,,,,,,2020-04-30
18,,,,,,,,,0.0,,,,,,,,2020-06-21
18,,,,,,,,,0.0,,,,,,,,2020-06-23
18,,,,,,,,,1.0,,,,,,,,2020-04-14
18,,,,,,,,,0.0,,,,,,,,2020-06-20
18,,,,,,,,,0.0,,,,,,,,2020-04-15
18,,,,,,,,,0.0,,,,,,,,2020-04-16
18,,,,,,,,,0.0,,,,,,,,2020-04-17
18,,,,,,,,,0.0,,,,,,,,2020-04-18
18,,,,,,,,,0.0,,,,,,,,2020-06-24
18,,,,,,,,,0.0,,,,,,,,2020-05-01
18,,,,,,,,,0.0,,,,,,,,2020-04-20
18,,,,,,,,,0.0,,,,,,,,2020-04-22
18,,,,,,,,,0.0,,,,,,,,2020-04-23
18,,,,,,,,,0.0,,,,,,,,2020-04-24
18,,,,,,,,,0.0,,,,,,,,2020-04-25
18,,,,,,,,,0.0,,,,,,,,2020-04-26
18,,,,,,,,,0.0,,,,,,,,2020-04-27
18,,,,,,,,,0.0,,,,,,,,2020-04-28
18,,,,,,,,,0.0,,,,,,,,2020-06-19
18,,,,,,,,,0.0,,,,,,,,2020-04-29
18,,,,,,,,,0.0,,,,,,,,2020-04-21
18,,,,,,,,,0.0,,,,,,,,2020-04-19
18,,,,,,,,,0.0,,,,,,,,2020-06-26
18,,,,,,,,,0.0,,,,,,,,2020-05-07
18,,,,,,,,,0.0,,,,,,,,2020-06-05
18,,,,,,,,,0.0,,,,,,,,2020-07-11
18,,,,,,,,,0.0,,,,,,,,2020-06-29
18,,,,,,,,,0.0,,,,,,,,2020-07-12
18,,,,,,,,,0.0,,,,,,,,2020-06-03
18,,,,,,,,,0.0,,,,,,,,2020-06-28
18,,,,,,,,,0.0,,,,,,,,2020-07-13
18,,,,,,,,,0.0,,,,,,,,2020-06-02
18,,,,,,,,,0.0,,,,,,,,2020-07-14
18,,,,,,,,,0.0,,,,,,,,2020-06-01
18,,,,,,,,,0.0,,,,,,,,2020-06-16
18,,,,,,,,,0.0,,,,,,,,2020-07-15
18,,,,,,,,,0.0,,,,,,,,2020-05-31
18,,,,,,,,,0.0,,,,,,,,2020-07-16
18,,,,,,,,,0.0,,,,,,,,2020-07-17
18,,,,,,,,,0.0,,,,,,,,2020-07-10
18,,,,,,,,,0.0,,,,,,,,2020-06-15
18,,,,,,,,,0.0,,,,,,,,2020-06-06
18,,,,,,,,,0.0,,,,,,,,2020-07-09
18,,,,,,,,,0.0,,,,,,,,2020-06-12
18,,,,,,,,,0.0,,,,,,,,2020-06-13
18,,,,,,,,,0.0,,,,,,,,2020-07-01
18,,,,,,,,,0.0,,,,,,,,2020-07-03
18,,,,,,,,,0.0,,,,,,,,2020-06-11
18,,,,,,,,,0.0,,,,,,,,2020-07-04
18,,,,,,,,,0.0,,,,,,,,2020-06-10
18,,,,,,,,,0.0,,,,,,,,2020-05-30
18,,,,,,,,,0.0,,,,,,,,2020-07-05
18,,,,,,,,,0.0,,,,,,,,2020-06-14
18,,,,,,,,,0.0,,,,,,,,2020-06-30
18,,,,,,,,,0.0,,,,,,,,2020-07-06
18,,,,,,,,,0.0,,,,,,,,2020-06-08
18,,,,,,,,,0.0,,,,,,,,2020-07-07
18,,,,,,,,,0.0,,,,,,,,2020-07-08
18,,,,,,,,,0.0,,,,,,,,2020-06-07
18,,,,,,,,,0.0,,,,,,,,2020-06-09
18,,,,,,,,,0.0,,,,,,,,2020-07-18
18,,,,,,,,,0.0,,,,,,,,2020-05-29
18,,,,,,,,,0.0,,,,,,,,2020-07-19
18,,,,,,,,,0.0,,,,,,,,2020-07-28
18,,,,,,,,,0.0,,,,,,,,2020-05-21
18,,,,,,,,,0.0,,,,,,,,2020-05-20
18,,,,,,,,,0.0,,,,,,,,2020-06-18
18,,,,,,,,,0.0,,,,,,,,2020-05-19
18,,,,,,,,,0.0,,,,,,,,2020-05-18
18,,,,,,,,,0.0,,,,,,,,2020-05-17
18,,,,,,,,,0.0,,,,,,,,2020-05-22
18,,,,,,,,,0.0,,,,,,,,2020-05-16
18,,,,,,,,,0.0,,,,,,,,2020-05-14
18,,,,,,,,,0.0,,,,,,,,2020-05-13
18,,,,,,,,,0.0,,,,,,,,2020-05-12
18,,,,,,,,,0.0,,,,,,,,2020-05-11
18,,,,,,,,,0.0,,,,,,,,2020-05-10
18,,,,,,,,,0.0,,,,,,,,2020-05-09
18,,,,,,,,,0.0,,,,,,,,2020-05-08
18,,,,,,,,,0.0,,,,,,,,2020-05-15
18,,,,,,,,,0.0,,,,,,,,2020-05-06
18,,,,,,,,,,,,,,,,0.0,2020-07-27
18,,,,,,,,,0.0,,,,,,,,2020-05-23
18,,,,,,,,,0.0,,,,,,,,2020-05-28
18,,,,,,,,,0.0,,,,,,,,2020-06-27
18,,,,,,,,,0.0,,,,,,,,2020-07-20
18,,,,,,,,,0.0,,,,,,,,2020-07-21
18,,,,,,,,,0.0,,,,,,,,2020-05-27
18,,,,,,,,,0.0,,,,,,,,2020-07-22
18,,,,,,,,,0.0,,,,,,,,2020-06-17
18,,,,,,,,,0.0,,,,,,,,2020-07-27
18,,,,,,,,,0.0,,,,,,,,2020-05-26
18,,,,,,,,,0.0,,,,,,,,2020-05-25
18,,,,,,,,,0.0,,,,,,,,2020-07-24
18,,,,,,,,,0.0,,,,,,,,2020-07-25
18,,,,,,,,,0.0,,,,,,,,2020-05-24
18,,,,,,,,,,,,,,,,1.0,2020-07-25
18,,,,,,,,,0.0,,,,,,,,2020-07-26
18,,,,,,,,,,,,,,,,0.0,2020-07-26
18,,,,,,,,,0.0,,,,,,,,2020-07-23
18,,,,,,,,,0.0,,,,,,,,2020-06-04
18,,,,,,,,,0.0,,,,,,,,2020-06-22
18,,,,,,,,8.0,,,,,,,,,2020-03-16
18,,,7.5,,,,,,,,,,,,,,2020-03-16
18,,,,,,,,,,,,,,,2.0,,2020-03-26
18,,,,1.0,,,,,,,,,,,,,2020-03-18
19,,,,,,,,,0.0,,,,,,,,2020-08-02
19,,,,,,,,,,,,,,,,0.0,2020-07-30
19,,,,,,8.5,,,,,,,,,,,2020-03-16
19,,,,,8.0,,,,,,,,,,,,2020-03-14
19,,,,,,,,,,,,,,,,0.0,2020-08-02
19,,,,,,,,,,,,,,,,0.0,2020-07-29
19,,,,,,,,,1.0,,,,,,,,2020-07-29
19,,,,,,,,,0.0,,,,,,,,2020-07-31
19,,,,,,,,,0.0,,,,,,,,2020-08-03
19,,,,,,,,,0.0,,,,,,,,2020-08-01
19,,,,,,,,,,,,,,,,0.0,2020-08-01
19,,,,,,,,,,,,,,,,1.0,2020-07-28
19,,,,,,,,,,,,,,,,0.0,2020-07-31
19,,,,,,,,,0.0,,,,,,,,2020-07-30
20,,,,2.0,,,,,,,,,,,,,2020-03-19
20,,,,,,,,,,,,,9.0,,,,2020-03-20
20,,,,,,,,,0.0,,,,,,,,2020-08-06
20,,,,,,,,,,,,,,,0.0,,2020-03-28
20,,,,,,,,,0.0,,,,,,,,2020-08-05
20,1.6,,,,,,,,,,,,,,,,2020-03-13
20,,,,,,,,,1.0,,,,,,,,2020-08-04
20,,,,,,,,,,,,,,,,1.0,2020-08-03
20,,,,,,,,,,,,,,,2.0,,2020-03-27
20,,,,,,,,,,,,,,,,0.0,2020-08-05
20,,,,,,,,,,,,,,,,0.0,2020-08-04
21,,,,,,,,,,,,,,,,1.0,2020-08-06
21,,,,,,,,,,,,,,,,0.0,2020-08-07
21,,,,,,,,,,,7.5,,,,,,2020-03-16
22,,,,,,,,,,,,,,,,0.0,2020-08-17
22,,,,,,,,,,,,,,,,0.0,2020-08-18
22,,,,,,,,,,,,,,,,1.0,2020-08-08
22,,,,,,,,,,,,,,,,0.0,2020-08-16
22,,,,,,,,,,,,,,,,0.0,2020-08-12
22,,,,,,,,,,,,,,,,0.0,2020-08-11
22,,,,,,,,,,,,,,,,0.0,2020-08-15
22,,,,,,,,,,,,,,,2.0,,2020-03-29
22,,,,,,,,,,,,,,,,0.0,2020-08-10
22,,,,,,,,,,,,,,,,0.0,2020-08-13
22,,,,,,,,,,,,,,,,0.0,2020-08-09
22,,,,0.0,,,,,,,,,,,,,2020-03-21
22,,,,,,,,,,,,,,,,0.0,2020-08-14
22,,,,2.0,,,,,,,,,,,,,2020-03-20
22,2.0,,,,,,,,,,,,,,,,2020-03-14
23,,,,,,,,,,,,,,,,0.0,2020-08-30
23,,,,,,,,,,,,,,,,0.0,2020-09-13
23,,,,,,,,,,,,,,,,0.0,2020-08-27
23,,,,,,,,,,,,,,,,0.0,2020-08-23
23,,,,,,,,,,,,,,,,0.0,2020-08-26
23,,,,,,,,,,,,,,,,0.0,2020-08-22
23,,,,1.0,,,,,,,,,,,,,2020-03-22
23,,,,,,,,,,,,,,,,0.0,2020-08-28
23,,,,,,,,,,,,,,,,0.0,2020-08-21
23,,,,,,,,,,,,,,,,0.0,2020-09-19
23,,,,,,,,,,,,,,,,0.0,2020-08-25
23,,,,,,,,,,,,,,,,0.0,2020-08-20
23,,,,,,,,,,,,,,,,0.0,2020-09-15
23,,,,,,,,,,,,,,,,0.0,2020-08-29
23,,,,,,,,,,,,,,,,0.0,2020-09-16
23,,,,,,,,,,,,,,,,0.0,2020-09-17
23,,,,,,,,,,,,,,,,1.0,2020-08-19
23,,,,,,,,,,,,,,,,0.0,2020-09-14
23,,,,,,,,,,,,,,,,0.0,2020-09-18
23,,,,,,,,,,,,,,,,0.0,2020-09-12
23,,,,,,,,5.0,,,,,,,,,2020-03-17
23,,,,,,,,,,,,,,,,0.0,2020-09-02
23,,,,,,,,,,,,,,,,0.0,2020-09-03
23,,,,,,,,,,,,,,,,0.0,2020-09-04
23,,,,,,,,,,,,,,,,0.0,2020-09-05
23,,,,,,,,,,,,,,,,0.0,2020-09-01
23,,,,,,,,,,,,,,,,0.0,2020-09-07
23,,,,,,,,,,,,,,,,0.0,2020-09-08
23,,,,,,,,,,,,,,,,0.0,2020-09-09
23,,,,,,,,,,,,,,,,0.0,2020-09-10
23,,,,,,,,,,,,,,,,0.0,2020-09-06
23,,,,,,,,,,,,,,,,0.0,2020-09-11
23,,,,,,,8.0,,,,,,,,,,2020-03-17
23,,,,,,,,,,,,,,,,0.0,2020-08-31
23,,,,,,,,,,,,,,,,0.0,2020-08-24
24,,,,,,,,,,,,,,,2.0,,2020-03-30
25,,,,2.0,,,,,,,,,,,,,2020-03-23
25,,,,,,,,,,,,,,,,0.0,2020-09-24
25,,,,,,,,,,,,,,,,0.0,2020-09-22
25,,,,,,,,,,,,,,,,0.0,2020-09-25
25,,,,,,,,,,,,,,,,2.0,2020-09-20
25,,,7.0,,,,,,,,,,,,,,2020-03-17
25,,,,,,,,,,,,,,,,0.0,2020-09-21
25,,,,,,,,,,,,,,,,0.0,2020-09-23
26,,,,,,,,,,,,,,,,0.0,2020-09-27
26,,,,,,,,,,,,,,,2.0,,2020-03-31
26,,,,,,,,,,,,,,,0.0,,2020-04-01
26,,,,,,,,,,11.0,,,,,,,2020-03-14
26,,,,,,,,,,,,,,,,1.0,2020-09-26
27,,,,,,,,,,,,,7.0,,,,2020-03-21
27,,,,,,,,,,,,,,,,1.0,2020-09-28
27,,,,,,,,,,,,,,,,0.0,2020-09-29
28,,,,,,,,,,,,,,,,0.0,2020-10-01
28,,,,,,,,5.0,,,,,,,,,2020-03-18
28,,,,,,9.0,,,,,,,,,,,2020-03-17
28,,,,,,,,,,,,,,,,1.0,2020-09-30
29,,,,,,,,,,,,,,,,1.0,2020-10-02
29,,,,,,,,,,,,,,,,0.0,2020-10-03
29,,,,,,1.0,,,,,,,,,,,2020-03-18
29,,,,,,,,,,,8.0,,,,,,2020-03-17
30,,,,,,,,,0.0,,,,,,,,2020-08-13
30,,,,,,,,,0.0,,,,,,,,2020-08-14
30,,,5.0,,,,,,,,,,,,,,2020-03-18
30,,,,,,,,,0.0,,,,,,,,2020-08-11
30,,,,,,,,,0.0,,,,,,,,2020-08-10
30,,,,,,,,,0.0,,,,,,,,2020-08-09
